ime,datum
Charles Burke,08.10.1930
Horst Schneider,13.02.1939
Jack Nielsen,07.10.1923
Michel Thepenier,06.01.1945
Jennifer Taylor,26.01.1976
Ornella Oettl Reyes,14.12.1991
Agustin Garcia Jurjo,06.04.1980
Ortrun Enderlein,01.12.1943
Valentine Bialas,10.01.1903
Bruno Hofstatter,14.05.1963
Georg Grunenfelder,02.01.1937
Giuliano Razzoli,18.12.1984
Valeriya Tyuleneva,27.09.1997
Holly Flanders,26.12.1957
Mickey Ross,08.08.1980
Carole Keyes,02.09.1952
Petr Garabik,01.01.1970
Rainer Schoenfelder,13.06.1977
Serena Iliffe,06.01.1960
Hubert Neuper,29.09.1960
Ilonda Luse,11.07.1972
Jenna Blasman,24.09.1993
Lucy Steele,12.05.1969
Jorunn Askersrud,06.05.1929
Anna Larionova,03.06.1975
Simone Opitz,03.07.1963
Alain Macle,18.04.1944
Kjelfrid Brusveen,23.11.1926
Fabio Carta,06.10.1977
Morena Makar,22.01.1985
Piotr Michalski,27.07.1994
Nagako Mori,15.09.1975
Surya Bonaly,15.12.1973
Marlene Korthals,16.05.1943
Ben Mates,28.10.1983
Janez Jazbec,27.12.1984
Georg Thoma,20.08.1937
Alex Puente Tasias,08.03.1994
Frode Loberg,23.01.1963
Sheila Young,14.10.1950
Juan Manuel Fernandez Ochoa,24.06.1951
Kai Arne Engelstad,21.12.1954
Tom Hilde,22.09.1987
Yiwei Zhang,03.10.1992
Tomas Portyk,06.04.1996
Iris Sihvonen,22.04.1940
Fritjof Prydz,15.07.1943
Martin Julen,31.03.1928
Antonio Cascos,21.12.1963
Ole Christian Eidhammer,15.04.1965
Willy De Beer,05.09.1942
Kurt Hennrich,28.08.1931
Mirko Ninzi,14.11.1989
Kaili Sirge,23.07.1983
Pat Ahern,10.11.1960
Alois Stadlober,11.04.1962
Pentti Lammio,24.10.1919
Fredy Brupbacher,28.11.1937
Henrik Von Appen,15.12.1994
Edit Miklos,31.03.1988
Wladyslawa Majerczyk,16.06.1952
Iva Karagiozova,21.09.1971
Jacky Chamoun,21.10.1991
Hanni Wenzel,14.12.1956
Carola Calello,12.07.1977
Kiki Cutter,24.07.1949
Mona Brorsson,28.03.1990
Doris Guenther,03.05.1978
Nico Porteous,23.11.2001
Anja Huber,20.05.1983
Atsushi Sawada,02.08.1958
Julia Antipova,14.07.1966
Andreas Kuettel,25.04.1979
Nicolae Pandrea,02.10.1933
Frank Schroder,06.03.1962
Ivar Bjare,30.04.1943
Michael Randall,27.03.1962
Alanna Kraus,30.06.1977
Fabio Caduff,12.09.1985
Stephen Collins,13.03.1964
Kornelia Kubinska,03.08.1985
Josee Lacasse,25.10.1965
Ikuyo Tsukidate,15.01.1977
Ekaterina Nesterenko,11.10.1976
Guiping Gong,01.02.1969
Melcher Risberg,16.02.1930
Fumio Igarashi,06.11.1958
Markus Schairer,04.07.1987
Corinne Suter,28.09.1994
Marian Filc,16.09.1948
Aleksandar Milenkovic,22.12.1967
Shaolin Sandor Liu,20.11.1995
Hansjorg Raffl,29.01.1958
Joanne Firesteel Reid,28.06.1992
Daniel Claudon,30.08.1943
Antony Guss,09.01.1959
Reinhold Senn,06.12.1936
Gheorghi Kotchov,10.11.1955
Joseph Haas,03.08.1937
Hernan Boher,12.06.1940
Arto Koivisto,07.12.1947
Lionel Laurent,10.10.1964
Maya Harrisson,03.03.1992
Victor Fontana,08.03.1948
Joon Ho Lee,07.09.1965
Oystein Braaten,21.07.1995
Deborah Anthonioz,29.08.1978
Sarah Reid,02.06.1987
Dominick Graham,24.07.1920
Brian Orser,18.12.1961
Jeff Pain,14.12.1970
Byung Kook Shin,19.12.1978
Moira Cargill,10.12.1958
Toru Ito,08.04.1966
Livia Elena Reit,08.04.1960
Frantiszek Kawa,30.11.1899
Sergey Kornilov,09.05.1978
Isabel Atkin,21.06.1998
Osamu Kodama,21.09.1956
Nina Chebalina,12.05.1941
Roberta Serra,24.04.1970
Peter Fischer,25.02.1954
Nina Micic,30.01.1991
Marcelle Buhler,06.08.1913
Ilpo Nuolikivi,25.04.1942
Porya Saveh Shemshaki,30.04.1987
Liutauras Barila,10.02.1974
Jens Burman,16.08.1994
Martin Jaks,06.09.1986
Robin Jones,17.06.1943
Katia Colturi,17.10.1971
Sebastian Druszkiewicz,14.06.1986
Barbora Klementova,11.10.1994
Hongxue Li,09.03.1984
Anzhelika Kotyuga,26.05.1970
Sebastian Praus,31.08.1980
Thomas Grob,11.01.1977
Darren Gardner,14.05.1990
Dioscar Lovera,
Shino Yanagisawa,20.02.1974
Mary Seaton,18.07.1956
Elisabeth Kirchler,17.11.1963
Viacheslav Zagorodniuk,11.08.1972
Anna Dahlberg,01.05.1976
Josef Gumpold,03.09.1908
Ippolito Sanfratello,11.03.1973
Ben Sim,30.07.1985
Sylvaine Duban,09.06.1949
Shelly Gotlieb,28.07.1980
Xianying Liu,08.07.1977
Lowell Bailey,15.07.1981
Ladina Jenny,10.06.1993
Nobu Naruse,08.07.1984
Simon Slattvik,24.07.1917
Andy Capicik,22.03.1973
Marc Gilbertson,08.06.1969
Choon Kie Kim,02.05.1946
Hans Kossmann,05.01.1965
Sylvain Dufour,19.11.1982
Tadeja Brankovic,20.12.1979
Andreas Prommegger,10.11.1980
Shin Young Yang,08.11.1990
Annibale John Orsi,14.09.1944
Erich Kull,06.01.1932
Mario Reiter,05.11.1970
Charles Mathiesen,12.02.1911
Sylvia White,29.03.1943
Raymond Murray,14.06.1910
Christophe Perrillat,19.01.1979
Jan Fajstavr,26.03.1944
Jin Suo Han,15.03.1959
Mikhail Botvinov,17.11.1967
Nancy Fiddler,21.02.1956
Gerard Maarse,01.03.1929
Tumurbaatar Nyamdavaa,05.05.1960
Donna Weinbrecht,23.04.1965
Nigel Smith,31.01.1964
Nadejda Vassileva 1,23.03.1978
Marcin Szafranski,06.05.1971
Svetlana Boiko,08.02.1966
Ernst Vettori,25.06.1964
Yuko Yaegashi,26.04.1957
Gunter Tilch,04.05.1937
Yekaterina Malysheva,28.01.1987
Olivier Fraise,14.09.1970
Anders Jacobsen,17.02.1985
Kaspars Dumpis,23.12.1982
Emily Arthur,24.04.1999
Sandrine Daudet,21.06.1972
Biziyagin Dashgai,05.01.1935
Simidele Adeagbo,29.07.1981
Ivano Bamberghi,13.01.1949
Marlies Rostock,20.04.1960
Kurt Niederstatter,12.08.1976
Wolfram Fiedler,29.09.1951
Erkki Antila,14.07.1953
Peter Schlickenrieder,16.02.1970
Ronald Richards,05.06.1963
Manuel Osborne Paradis 1,08.02.1984
Dennis Mcgrane,07.07.1962
Andy Mill,02.11.1953
Tony Sabrina Bombardieri,14.04.1978
Jan Staszel,15.09.1950
Elena Hight,17.08.1989
Geoffrey Sidney Yates,16.05.1918
Frederik Austbo,20.04.1988
Tadao Ishihata,06.10.1941
Linus Heidegger,23.08.1995
Cathy Chedal,14.06.1968
Alexei Yagudin,18.03.1980
Paul Hix,06.03.1974
Josef Adolf,30.11.1897
Tin Siroki,29.04.1987
Chris Mcneill,20.11.1954
Morisi Kvitelashvili,17.03.1995
Petra Rohrmann,30.07.1962
Dagmar Rom,16.06.1928
Ross Martin,16.05.1943
Jee Won Seo,13.04.1994
Marie Odile Raymond,13.12.1973
Peter Thiel,15.10.1943
Paul Wylie,28.10.1964
Walter Au Endorfer,18.04.1939
Barbara Gorgon,11.01.1936
Hannes Paul Schmid,19.11.1980
Christian Mayer,10.01.1972
Erhan Dursun,05.01.1962
Hans Enn,10.05.1958
Seraina Mischol,01.12.1981
David Besteman,02.02.1963
Toshiichi Katayama,05.06.1913
Ulf Johansson,26.05.1967
Lynn Spencer Galanes,06.06.1954
Chae Won Lee,07.04.1981
Nam Youn Choi,
Friedrich Pinter,22.02.1978
Dario Villalba,22.02.1939
Janet Wells,31.05.1957
Maxim Braun,16.04.1993
John Tipper,16.09.1944
Robert Manzenreiter,28.08.1966
Anton Kovalevski,09.03.1985
Ted Jan Bloemen 1,16.08.1986
Havard Lorentzen,02.10.1992
Bruno De Zordo,18.11.1941
Harald Oehme,03.09.1953
Gunnar Otto Neuriesser,16.08.1961
Kaare Osterdaal,02.12.1917
Yosyf Penyak,31.05.1984
Nazih Geagea,16.10.1941
Harry Kaskey,30.11.1901
Alexander Tretyakov,19.04.1985
Katya Crema,02.08.1988
Oleg Goncharenko,18.08.1931
Carl Erik Asplund,14.09.1923
Chengjiang Guo,17.06.1955
Aleksandr Kertchenko,23.04.1946
Guttorm Berge,19.04.1929
Zuzana Kocumova,26.05.1979
Thomas Szekely,29.04.1923
Kirsten Mcgarry,25.07.1985
Arjan Schreuder,19.01.1972
Birgir Gudlaugsson,28.04.1941
Andreas Bauer,21.01.1964
Audrey Peppe,12.10.1917
Thorir Jonsson,22.08.1926
Francois Boivin,08.12.1982
Mario Vera,18.01.1940
Horst Nickel,04.03.1934
Jan Legierski,10.03.1952
Rebecca Dussault,14.11.1980
Heather Kemkaran,02.08.1958
Dieter Bokeloh,28.01.1942
E Gary Crawford,30.08.1957
Stephen Brialey,08.10.1963
Frank Prihoda,
Joan Haanappel,13.11.1940
Michael Dixon,21.11.1962
Per Knut Aaland,05.09.1954
Susanne Renate Holmes,30.08.1929
Vladimir Smirnov,07.03.1964
Dezideriu Horvath,07.04.1970
Janet Daly,12.01.1969
Mark Cockerell,24.04.1952
Emma Wiken,01.05.1989
Hwa Son Son,26.02.1968
Clara Villoslada,21.08.1980
Alexander Kowalski 1,20.07.1930
Adriana Turea,20.04.1975
Iain Finlayson,19.12.1951
Vladimir Voronkov,20.03.1944
Vasily Rotchev,23.10.1980
Alise Dseguse,15.04.1914
Gert Dietmar Klause,25.03.1945
Leo Freisinger,07.02.1916
Jedrij Notz,06.09.1974
Eva Botond,27.05.1921
Horst Freese,30.01.1944
Emil Joensson,15.08.1985
Gheorghe Cimpoia,14.10.1939
Gunn Margit Andreassen,23.07.1973
Serafin Wiestner,20.07.1990
Renaud Jay,12.08.1991
Peter Iliev,11.06.1984
Andy Jung,24.04.1997
Ales Gorza,20.07.1980
Kris Feddersen,30.10.1963
Thomas Dawson,15.02.1942
Eva Vrabcova Nyvltova,06.02.1986
Alexander Khoroshilov,16.02.1984
Arthur Herrdin,26.11.1918
Kenji Ogiwara,20.12.1969
Eric Frenzel,21.11.1988
Lianli Li,06.10.1974
Vera Schenone,25.04.1940
Leif Kristian Nestvold Haugen,29.11.1987
Spencer Pession,19.01.1972
Jordi Font,01.05.1975
Kenneth Sivertsen,31.08.1973
Jing Yu,29.05.1985
Josef Schwaiger,11.09.1930
Anne Line Gjersem,06.01.1994
Nikolay Morilov,11.08.1986
Ivar Formo,24.06.1951
Craig Thrasher,16.12.1970
Hannerl Walter,24.11.1939
Alexej Zvetkov,01.09.1981
Shinkichi Takemura,21.12.1931
Anders Larsson 1,03.10.1961
Pekka Ristola,13.05.1929
Ivan Zlatev,01.08.1990
Yuichi Onda,24.06.1980
Federico Van Ditmar,16.12.1969
Barrett Martineau,04.09.1991
Yevgeny Belyaev,20.03.1954
Heinz Hauser,23.12.1920
Michelle Roark 1,16.11.1974
Luisa Noskova,07.07.1968
Alfred Vincelette,11.06.1935
Leonid Fedorov,25.03.1928
Thomas Morgenstern,30.10.1986
Tsugiharu Ogiwara,20.12.1969
Angela Zuckerman,24.03.1965
Ross Green,03.01.1978
Annelore Zuckert,05.02.1925
Galina Sidorova,06.03.1945
Maren Lundby,07.09.1994
Wenlong Xu,27.02.1987
Aleksandr Klimov,12.08.1965
Alessandro Fattori,21.06.1973
Alfred Altenburger,14.03.1923
Werner Sele,24.06.1951
Marsha Hudey,03.08.1990
Zhiwu Gai,04.05.1960
Claude Nicouleau,22.12.1961
Manfred Oettl Reyes,23.10.1993
Margriet Prajoux,19.06.1912
Elena Rodina,17.05.1975
Francisco Jerman,16.10.1920
Alexander Hurd,21.07.1910
Tuomo Ojala,19.09.1979
Laura Spector,30.10.1987
Magda Rezlerova,09.08.1982
Tim Burke,03.02.1982
Tomoka Takeuchi,21.12.1983
Scott Lago,12.11.1987
Tsuneo Noto,20.02.1944
Ivica Kostelic,23.11.1979
Herbert Dijkstra,13.07.1966
Yong Jun Song,03.02.1959
Otto Leodolter,18.03.1936
Neha Ahuja,27.09.1981
Regine Cavagnoud,27.06.1970
Andrey Sobolev,27.11.1989
Lotte Van Beek,09.12.1991
Megan Sweeney,17.02.1987
Dino Gillarduzzi,15.09.1975
Christopher Robanske,30.12.1989
Shuai Qi,13.02.1988
Juhani Jarvinen,09.05.1935
Urban Franc,05.06.1975
Katarina Witt,03.12.1965
Gheorghe Badescu,06.09.1937
Falk Schwaar,28.04.1971
Edmond Khachatryan,21.10.1983
Heide Mittermaier,28.01.1941
Yuji Sasaki,31.01.1972
Xiaoye Zeng,26.02.1991
Throstur Johannesson,21.08.1955
Kazuki Yoshinaga,31.07.1999
Lubomir Popov,15.06.1967
Asa Svedmark,11.06.1961
Ju Youn Lee,29.10.1987
Max Rieger,10.07.1946
Sung Hyun Kyung 1,10.06.1990
Anton Shipulin,21.08.1987
Kostas Sykaras,30.05.1984
Mikael Martinsson,25.11.1968
Song Soon Kim,07.06.1940
Silvio Alvera,17.12.1921
Juris Germanis,04.04.1977
Ilmar Aluvee,25.11.1969
Viktoria Pavuk,30.12.1985
Marie Michele Gagnon,25.04.1989
Karol Zajac,30.11.1912
Deyvid Oprja,17.02.1982
Michail Semenov 1,05.02.1986
Donald A Macleod,26.01.1938
Georges Dubois,19.05.1935
Yosuke Takeuchi,15.08.1979
Bernt Jansson,26.06.1950
Georgui Mitroff,05.11.1932
Nicholas Alexander,24.08.1988
Maxim Vylegzhanin,18.10.1982
Jung Hwa Seo,27.09.1990
Nicola Mayr,06.04.1978
Harry Jansson,04.06.1916
Tomomi Okazaki,07.09.1971
Jan Hudec,19.08.1981
Lorenz Possa,31.03.1934
Inara Rudko,21.07.1971
Michaela Endler,20.12.1945
Harvey Clifford,18.09.1926
Adrien Duvillard,07.11.1934
Anton Sinapov,01.09.1993
Zhen Shan Ying,01.10.1956
Leon Jucewicz,18.11.1902
Paul Accola,20.02.1967
Wolfgang Schwarz,14.09.1947
Sayuri Osuga,27.10.1980
Shubin Zhang,16.02.1966
Ioan Gabriel Nan,03.09.1980
Tomas Goder,04.09.1974
Emery Lehman,13.06.1996
Seung Hoon Lee 1,06.03.1988
Maria Trebunia,03.05.1956
Gail Borden Ii,19.02.1907
Banzyagtek Zundui,14.10.1937
Axel Herman Nilsson,31.12.1894
Jarret Thomas,06.04.1981
Stanislav Benyov,19.04.1991
Raibu Katayama,04.05.1995
Anders Soderberg,08.07.1971
Carolina Birkner,30.04.1969
Colin Hickey,03.07.1931
Gerhard Zimmermann,23.09.1942
Dusan Simocko,29.09.1983
Nikola Zdrahalova,01.04.1996
Takahiko Kozuka,27.02.1989
Lyaysan Rayanova,01.02.1989
Alexandra Ianculescu,21.10.1991
Kali Christ,09.11.1991
Juan Garriga Teruel,18.09.1940
Joseph Luke Cecchini,25.05.1982
Henning Stensrud,20.08.1977
Danny Davis,22.06.1988
Clarita Heath,27.08.1916
Hannah Trigger,05.02.1987
Rolf Falk Larssen,21.02.1960
Marc Gisin,25.06.1988
Andrej Jezersek,22.03.1982
Franco Nones,01.02.1941
Ivan Lebanov,10.12.1957
Miroslav Sulek,16.03.1993
Jan Ykema,18.04.1963
Philippe Sanchez,26.09.1969
Petr Urban,08.08.1960
Noah Bowman,08.05.1992
Markus Svendsen,28.02.1941
Mykola Popovych,03.05.1971
Anais Caradeux,30.06.1990
Ilja Rosliakov,18.02.1983
Alberts Tebbitt,30.11.1871
Uwe Bellmann,08.10.1962
Elfriede Eder,05.01.1970
Mark Fawcett,17.01.1972
Allan Ganter,18.06.1938
Ellen Williams,14.06.1947
Efstathios Vogdanos,12.10.1948
Karl Magnus Satre,06.02.1904
Anna Lise Parisien,22.10.1972
Marcel Raymond,07.07.1911
Marja Elfman,
Satomi Koike,19.10.1950
Alois Schwarz,16.06.1965
Dambadarjaa Baadai,20.06.1941
Aivar Rehemaa,28.09.1982
Haritz Zunzunegui,01.05.1975
Wladyslaw Podgorski,12.07.1956
Torill Fjeldstad,22.02.1958
Fabien Rohrer,01.09.1975
Grunde Njos,20.06.1967
Tomasz Sikora,21.12.1973
Olga Kuziukova,27.09.1985
Vakhtang Murvanidze,13.10.1979
Jean Luc Thomas,06.02.1963
Simon Schempp,14.11.1988
Alexandra Coletti,08.08.1983
Andrei Nevzorov,12.01.1966
Meelis Aasmae,13.06.1972
Rudolf Nierlich,20.02.1966
Judy Crawford,22.12.1951
Markus Gahler,26.03.1966
Sammantha Teuscher,07.07.1972
Taylor Fletcher,11.05.1990
Yvonne Ruegg,02.08.1931
Ansten Samuelstuen,07.05.1929
Birk Anders,03.11.1967
Gunther Marxer,03.06.1964
Astrid Steverlynck,24.02.1968
Ingrid Sundberg,25.10.1948
Katrien Pauwels,08.11.1965
Rene Jeandel,11.07.1924
Ricardo Olavarrieta Navarro,12.04.1970
Perrine Pelen,03.07.1960
Konrad Bartelski,27.05.1954
Hideharu Miyahira,21.12.1973
Lajos Mate,10.07.1928
Alberto Tassotti,15.06.1918
Frieda Danzer,16.11.1931
Junko Yamakawa,28.03.1975
Brigitte Oertli,10.06.1962
Annette Karlsson,02.08.1956
Tahir Bisic,29.04.1981
Gasper Berlot,06.08.1990
Theres Obrecht,10.01.1944
Valery Muratov,01.05.1946
Jakub Janda,27.04.1978
Susanna Poykio,22.02.1982
Mi Young Kang,03.10.1978
Esther Bottomley,08.02.1983
Catarina Eklund,19.01.1970
Charlotte Walter,08.10.1951
Melitta Sollmann,20.08.1958
Lyubov Filimonova,31.08.1988
Young Soo Cho,01.01.1934
Eva Twardokens,28.04.1965
Johann Knahl,17.10.1914
Christopher Hudson,01.08.1900
Mans Hedberg,14.12.1993
Hilde Hofherr,20.04.1930
Anton Mamaev,24.05.1997
Kazutoshi Nagahama,29.04.1969
Yekaterina Aydova 1,30.07.1991
Wendy Allen,16.11.1944
Arnold Uhrlass,19.10.1931
Sebastian Haupt,17.12.1985
Philippe Eugene D Ursel,28.06.1920
Clark King,01.12.1949
Christine Terraillon,16.09.1943
Stane Bervar,
Derek Prentice,13.06.1950
Kazunari Sasaki,25.11.1962
Lawrence Snow Damon,08.12.1933
Edward Johnston Blood,15.08.1908
Jerzy Wojna,14.05.1943
Aino Kaisa Saarinen,01.02.1979
Bjoern Lind,22.03.1978
Ole Gunnar Fidjestol,21.03.1960
Elli Ochowicz,15.12.1983
Wlodzimierz Czarniak,26.05.1934
Gustav Muller,23.10.1903
Emily Hughes,26.01.1989
Daniel Pfister,07.12.1986
Soko Yamaoka,29.05.1974
Caroline Hallisey,24.09.1980
Arnd Peiffer,18.03.1987
Ivan Ratkic,22.02.1986
Kerry Dankers,06.11.1981
Simon Schoch,07.10.1978
Paolo Bacchini,16.08.1985
Jonathan Woodall,25.01.1946
Jan Szpunar,30.10.1952
Aleksandra Krol,20.11.1990
Aleksandr Zavyalov,02.06.1955
Aleksander Peretyagin,02.02.1992
Laurie Kreiner,30.06.1954
Andreja Smrekar,30.07.1967
Maria Pietilae Holmner,25.07.1986
Natalya Petruseva,02.09.1955
Viktor Varlamov,28.04.1948
Per Erik Hedlund,18.04.1897
Edgar Eckert,13.01.1948
Jorge Orandio Salas,27.08.1942
Atle Varvik,12.12.1965
Maui Gayme,30.10.1983
Roland Freier,16.01.1964
Rok Marguc,25.05.1986
Federico Raimo,13.11.1986
Elena Koroleva,27.10.1973
Uno Kajak,30.11.1932
Leyti Seck,21.01.1981
Lanny Barnes,26.04.1982
Satu Salonen,27.02.1973
Grigori Menchenine,08.03.1969
Valerie Grenier,30.10.1996
Ali Fuat Hasil,13.03.1966
Alma Lepina,08.06.1974
Evgeny Abramenko,26.02.1987
Janez Mlinar,14.08.1941
Robert Pipkins,23.02.1973
Paul Egloff,15.10.1959
Chikage Tanaka,23.06.1973
Michelle Kline,08.11.1968
Emerson Smith,13.02.1997
Reinhard Neuner,04.02.1969
Beni Hofer,03.05.1978
Marie Pierre Leray,17.02.1975
Piotr Zyla,16.01.1987
Rauno Miettinen,25.05.1949
Ladislav Patras,19.07.1967
Velichka Pandeva,10.01.1942
Jurg Capol,02.07.1965
Walter Sandza,09.08.1956
Kate Hansen,09.06.1992
Dettlef Gunther,27.08.1954
Valentyna Tserbe Nessina,08.01.1969
Dan Johansson,11.07.1950
Patrick Beckert,17.04.1990
Otto Mayregger,03.09.1962
Tucker Murphy,21.10.1981
Mikael Lofgren,02.09.1969
Todd Lodwick,21.11.1976
Andres Figueroa,07.12.1963
Yuna Kim,05.09.1990
Therese Johaug,25.06.1988
Un Song Choe,07.12.1992
Alenka Dovzan,11.02.1976
Vida Venciene,21.05.1961
Crispin Lipscomb,07.08.1979
Koichi Sato,21.09.1931
Danil Anisimov,23.05.1978
Ernie Lenie,20.12.1953
Hitonari Maruyama,21.04.1942
Hannes Dotzler,25.02.1990
Alfred Hagn,18.02.1948
Aleksander Klima,13.08.1945
Olaf Mihelson,02.08.1968
Rene Arpin,07.07.1943
Nicole Gontier,17.11.1991
Yang Yang S,14.09.1977
Hans Bauer,11.12.1903
Esmee Visser,27.01.1996
Josef Pospisil,19.04.1953
Jelena Lolovic,14.07.1981
Franz Portmann,11.09.1931
Tatyana Danshina,20.06.1975
Ryohei Haga,17.09.1988
Robin Lee,02.12.1919
Motoharu Matsumura,20.12.1945
Anna Woerner,27.09.1989
Jean Pierre Gueron,24.08.1944
Tomas Kraus,03.03.1974
Anna Pellissier,24.03.1927
Kazuaki Ichikawa,12.10.1949
Shona Rubens,31.10.1986
Olli Ohtonen,27.04.1979
Anna Holmlund,03.10.1987
Samuel Contesti,04.03.1983
Massimiliano Blardone,26.11.1979
Denis Geppert,24.01.1976
Xiangning Li,11.05.2000
Yulia Vorobieva,25.06.1974
Johnny Hoglin,26.02.1943
Dmitry Ogloblin,24.02.1956
Petra Hyncicova,01.05.1994
Ilmars Bricis,09.07.1970
Norman Bergamelli,21.10.1971
Christin Cooper,08.10.1959
Teruhiro Sugimori,15.09.1982
Susi Riermeier,23.12.1960
Wolfgang Schadler,08.07.1958
Knute Johnsgaard,05.12.1992
Baglan Inkarbek,22.10.1994
Krystof Kryzl,12.10.1986
Philomena Bair,24.02.1996
Shota Nakamura,02.09.1993
Anna Bulygina,11.01.1984
Ion Casa,04.12.1926
Karl Molitor,29.06.1920
Sophie Caldwell,22.03.1990
Helmut Voggenberger,21.04.1943
Josef Stiegler,20.04.1937
Percy Charles Legard,17.06.1906
Jari Mantila,14.07.1971
Sebastien Britten,17.05.1970
Anke Baier,22.05.1972
Roberts Zvejnieks,22.11.1997
Carrie Sheinberg,29.11.1972
Andrzej Gasienica Roj,30.11.1930
Viatscheslav Plaksunov,06.03.1968
Pawel Abratkiewicz,10.06.1970
Carmen Ranigler,17.08.1976
Aleksandr Zhirov,12.09.1958
Imre Csik,06.03.1912
Vladimir Sabich,09.01.1945
Kuang Ming Sun,05.01.1961
Roger White,31.08.1965
Attila Marosi,01.10.1982
Philip Jacklin,20.09.1952
Yury Astapenka,10.10.1990
Tommy Czeschin,15.06.1979
Stane Kmet,30.12.1905
Tyler Palmer,22.06.1950
Dimitry Vassiliev,26.12.1979
Anna Pawlusiak,10.02.1952
Evgenia Kutsepalova,07.06.1978
Valter Buchberger,30.11.1894
